DDB Spell ID,Spell ID,Name,Level,Source,Page,Source Citation,Casting Time,Range/Area,Components,Components [expanded],Duration,School,Attack/Save,Save,Damage/Effect,Notes,Description,At Higher Levels,Spell Tags,Available For,DDB URL,DDB Filter URL
2050,control-weather,Control Weather,8,Basic Rules (2014),228,"Basic Rules (2014), pg. 228",10 Minutes,Self (5 miles ),"V, S, M *","V, S, M (burning incense and bits of earth and wood mixed in water)",Concentration 8 Hours,Transmutation,None,,Control (...),,"You take control of the weather within 5 miles of you for the duration. You must be outdoors to cast this spell. Moving to a place where you don’t have a clear path to the sky ends the spell early.
When you cast the spell, you change the current weather conditions, which are determined by the DM based on the climate and season. You can change precipitation, temperature, and wind. It takes 1d4 × 10 minutes for the new conditions to take effect. Once they do so, you can change the conditions again. When the spell ends, the weather gradually returns to normal.
When you change the weather conditions, find a current condition on the following tables and change its stage by one, up or down. When changing the wind, you can change its direction.
Precipitation
Stage
Condition
1
Clear
2
Light clouds
3
Overcast or ground fog
4
Rain, hail, or snow
5
Torrential rain, driving hail, or blizzard
Temperature
Stage
Condition
1
Unbearable heat
2
Hot
3
Warm
4
Cool
5
Cold
6
Arctic cold
Wind
Stage
Condition
1
Calm
2
Moderate wind
3
Strong wind
4
Gale
5
Storm",,"Control, Environment","Cleric (Legacy), Druid (Legacy), Wizard (Legacy)",https://www.dndbeyond.com/spells/2050-control-weather,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2051,counterspell,Counterspell,3,Basic Rules (2014),228,"Basic Rules (2014), pg. 228",1 Reaction *,60 ft.,S,S,Instantaneous,Abjuration,None,,Negation,,"You attempt to interrupt a creature in the process of casting a spell. If the creature is casting a spell of 3rd level or lower, its spell fails and has no effect. If it is casting a spell of 4th level or higher, make an ability check using your spellcasting ability. The DC equals 10 + the spell's level. On a success, the creature's spell fails and has no effect.","When you cast this spell using a spell slot of 4th level or higher, the interrupted spell has no effect if its level is less than or equal to the level of the spell slot you used.
* - which you take when you see a creature within 60 feet of you casting a spell",Negation,"Sorcerer (Legacy), Warlock (Legacy), Wizard (Legacy), Paladin (Legacy) - Oath of Redemption, Paladin (Legacy) - Oath of the Watchers, Paladin (Legacy) - Oath of Castigation (2014)",https://www.dndbeyond.com/spells/2051-counterspell,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2052,create-food-and-water,Create Food and Water,3,Basic Rules (2014),229,"Basic Rules (2014), pg. 229",1 Action,30 ft.,"V, S","V, S",Instantaneous,Conjuration,None,,Creation,"You create 45 pounds of food and 30 gallons of water on the ground or in containers within range, enough to sustain up to fifteen humanoids or five steeds for 24 hours","You create 45 pounds of food and 30 gallons of water on the ground or in containers within range, enough to sustain up to fifteen humanoids or five steeds for 24 hours. The food is bland but nourishing, and spoils if uneaten after 24 hours. The water is clean and doesn't go bad.",,Creation,"Cleric (Legacy), Paladin (Legacy), Artificer (Legacy), Cleric (Legacy) - Festus Domain, Paladin (Legacy) - Oath of the Harvest, Warlock (Legacy) - The Genie",https://www.dndbeyond.com/spells/2052-create-food-and-water,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2054,create-undead,Create Undead,6,Basic Rules (2014),229,"Basic Rules (2014), pg. 229",1 Minute,10 ft.,"V, S, M *","V, S, M (one clay pot filled with grave dirt, one clay pot filled with brackish water, and one 150 gp black onyx stone for each corpse)",Instantaneous,Necromancy,None,,Control (...),Choose up to three corpses of Medium or Small humanoids within range. UpCast: More Creatures,"You can cast this spell only at night. Choose up to three corpses of Medium or Small humanoids within range. Each corpse becomes a
ghoul
under your control. (The GM has game statistics for these creatures.)
As a bonus action on each of your turns, you can mentally command any creature you animated with this spell if the creature is within 120 feet of you (if you control multiple creatures, you can command any or all of them at the same time, issuing the same command to each one). You decide what action the creature will take and where it will move during its next turn, or you can issue a general command, such as to guard a particular chamber or corridor. If you issue no commands, the creature only defends itself against hostile creatures. Once given an order, the creature continues to follow it until its task is complete.
The creature is under your control for 24 hours, after which it stops obeying any command you have given it. To maintain control of the creature for another 24 hours, you must cast this spell on the creature before the current 24-hour period ends. This use of the spell reasserts your control over up to three creatures you have animated with this spell, rather than animating new ones.","When you cast this spell using a 7th-level spell slot, you can animate or reassert control over four ghouls. When you cast this spell using an 8th-level spell slot, you can animate or reassert control over five
ghouls
or two
ghasts
or
wights
. When you cast this spell using a 9th-level spell slot, you can animate or reassert control over six
ghouls
, three
ghasts
or
wights
, or two
mummies
.","Creation, Control","Cleric (Legacy), Warlock (Legacy), Wizard (Legacy)",https://www.dndbeyond.com/spells/2054-create-undead,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2053,create-or-destroy-water,Create or Destroy Water,1,Basic Rules (2014),229,"Basic Rules (2014), pg. 229",1 Action,30 ft. (30 ft. ),"V, S, M *","V, S, M (a drop of water if creating water or a few grains of sand if destroying it)",Instantaneous,Transmutation,None,,Creation,"You create/destroy up to 10 gallons of clean water, or water falls/destroy fog as rain in a 30-foot cube.","You either create or destroy water.
Create Water.
You create up to 10 gallons of clean water within range in an open container. Alternatively, the water falls as rain in a 30-foot cube within range, extinguishing exposed flames in the area.
Destroy Water.
You destroy up to 10 gallons of water in an open container within range. Alternatively, you destroy fog in a 30-foot cube within range.","When you cast this spell using a spell slot of 2nd level or higher, you create or destroy 10 additional gallons of water, or the size of the cube increases by 5 feet, for each slot level above 1st.",Creation,"Cleric (Legacy), Druid (Legacy), Paladin (Legacy) - Oath of the Open Sea, Warlock (Legacy) - The Fathomless",https://www.dndbeyond.com/spells/2053-create-or-destroy-water,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2055,creation,Creation,5,Basic Rules (2014),229,"Basic Rules (2014), pg. 229",1 Minute,30 ft. (5 ft. ),"V, S, M *","V, S, M (a tiny piece of matter of the same type of the item you plan to create)",Special,Illusion,None,,Creation,,"You pull wisps of shadow material from the Shadowfell to create a nonliving object of vegetable matter within range: soft goods, rope, wood, or something similar. You can also use this spell to create mineral objects such as stone, crystal, or metal. The object created must be no larger than a 5-foot cube, and the object must be of a form and material that you have seen before.
The duration depends on the object's material. If the object is composed of multiple materials, use the shortest duration.
Material
Duration
Vegetable matter
1 day
Stone or crystal
12 hours
Precious metals
1 hour
Gems
10 minutes
Adamantine or mithral
1 minute
Using any material created by this spell as another spell's material component causes that spell to fail.","When you cast this spell using a spell slot of 6th level or higher, the cube increases by 5 feet for each slot level above 5th.",Creation,"Sorcerer (Legacy), Wizard (Legacy), Artificer (Legacy), Cleric (Legacy) - Forge Domain, Cleric (Legacy) - Inquisition Domain (Legacy), Warlock (Legacy) - The Genie",https://www.dndbeyond.com/spells/2055-creation,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2056,cure-wounds,Cure Wounds,1,Basic Rules (2014),230,"Basic Rules (2014), pg. 230",1 Action,Touch,"V, S","V, S",Instantaneous,Evocation,None,,Healing,This spell has no effect on undead or constructs.,A creature you touch regains a number of hit points equal to 1d8 + your spellcasting ability modifier. This spell has no effect on undead or constructs.,"When you cast this spell using a spell slot of 2nd level or higher, the healing increases by 1d8 for each slot level above 1st.",Healing,"Bard (Legacy), Cleric (Legacy), Druid (Legacy), Paladin (Legacy), Ranger (Legacy), Artificer (Legacy), Cleric (Legacy) - Life Domain (Legacy), Druid (Legacy) - Circle of Wildfire, Warlock (Legacy) - The Celestial (Legacy), Sorcerer (Legacy) - Crimson Dynasty (2014)",https://www.dndbeyond.com/spells/2056-cure-wounds,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2057,dancing-lights,Dancing Lights,0,Basic Rules (2014),230,"Basic Rules (2014), pg. 230",1 Action,120 ft.,"V, S, M *","V, S, M (a bit of phosphorus or wychwood, or a glowworm)",Concentration 1 Minute,Evocation,None,,Utility,,"You create up to four torch-sized lights within range, making them appear as torches, lanterns, or glowing orbs that hover in the air for the duration. You can also combine the four lights into one glowing vaguely humanoid form of Medium size. Whichever form you choose, each light sheds dim light in a 10-foot radius.
As a bonus action on your turn, you can move the lights up to 60 feet to a new spot within range. A light must be within 20 feet of another light created by this spell, and a light winks out if it exceeds the spell's range.",,Utility,"Bard (Legacy), Sorcerer (Legacy), Wizard (Legacy), Artificer (Legacy), Illrigger - Architect of Ruin",https://www.dndbeyond.com/spells/2057-dancing-lights,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2058,darkness,Darkness,2,Basic Rules (2014),230,"Basic Rules (2014), pg. 230",1 Action,60 ft. (15 ft. ),"V, M *","V, M (bat fur and a drop of pitch or piece of coal)",Concentration 10 Minutes,Evocation,None,,Control,,"Magical darkness spreads from a point you choose within range to fill a 15-foot-radius sphere for the duration. The darkness spreads around corners. A creature with
darkvision
can't see through this darkness, and nonmagical light can't illuminate it.
If the point you choose is on an object you are holding or one that isn't being worn or carried, the darkness emanates from the object and moves with it. Completely covering the source of the darkness with an opaque object, such as a bowl or a helm, blocks the darkness.
If any of this spell's area overlaps with an area of light created by a spell of 2nd level or lower, the spell that created the light is dispelled.",,Control,"Sorcerer (Legacy), Warlock (Legacy), Wizard (Legacy), Cleric (Legacy) - Night Domain, Cleric (Legacy) - Shadow Domain, Druid (Legacy) - Circle of Shadows, Paladin (Legacy) - Oathbreaker, Illrigger - Architect of Ruin",https://www.dndbeyond.com/spells/2058-darkness,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2059,darkvision,Darkvision,2,Basic Rules (2014),230,"Basic Rules (2014), pg. 230",1 Action,Touch,"V, S, M *","V, S, M (either a pinch of dried carrot or an agate)",8 Hours,Transmutation,None,,Buff,,"You touch a willing creature to grant it the ability to see in the dark. For the duration, that creature has
darkvision
out to a range of 60 feet.",,Buff,"Druid (Legacy), Ranger (Legacy), Sorcerer (Legacy), Wizard (Legacy), Artificer (Legacy), Druid (Legacy) - Circle of Shadows",https://www.dndbeyond.com/spells/2059-darkvision,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2060,daylight,Daylight,3,Basic Rules (2014),230,"Basic Rules (2014), pg. 230",1 Action,60 ft. (60 ft. ),"V, S","V, S",1 Hour,Evocation,None,,Control,"If any of this spell's area overlaps with an area of darkness created by a spell of 3rd level or lower, the spell that created the darkness is dispelled.","A 60-foot-radius sphere of light spreads out from a point you choose within range. The sphere is bright light and sheds dim light for an additional 60 feet.
If you chose a point on an object you are holding or one that isn't being worn or carried, the light shines from the object and moves with it. Completely covering the affected object with an opaque object, such as a bowl or a helm, blocks the light.
If any of this spell's area overlaps with an area of darkness created by a spell of 3rd level or lower, the spell that created the darkness is dispelled.",,Control,"Cleric (Legacy), Druid (Legacy), Paladin (Legacy), Ranger (Legacy), Sorcerer (Legacy), Cleric (Legacy) - Light Domain (Legacy), Warlock (Legacy) - The Celestial (Legacy), Warlock (Legacy) - The Lantern",https://www.dndbeyond.com/spells/2060-daylight,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2061,death-ward,Death Ward,4,Basic Rules (2014),230,"Basic Rules (2014), pg. 230",1 Action,Touch,"V, S","V, S",8 Hours,Abjuration,None,,Buff (...),Duration 8h.,"You touch a creature and grant it a measure of protection from death.
The first time the target would drop to 0 hit points as a result of taking damage, the target instead drops to 1 hit point, and the spell ends.
If the spell is still in effect when the target is subjected to an effect that would kill it instantaneously without dealing damage, that effect is instead negated against the target, and the spell ends.",,"Buff, Warding","Cleric (Legacy), Paladin (Legacy), Cleric (Legacy) - Life Domain (Legacy), Cleric (Legacy) - Death Domain, Cleric (Legacy) - Grave Domain, Cleric (Legacy) - Keeper Domain, Paladin (Legacy) - Oath of the Harvest, Warlock (Legacy) - The Undying, Warlock (Legacy) - The Undead, Artificer (Legacy) - Alchemist (Legacy), Illrigger - Architect of Ruin, Druid (Legacy) - Circle of Wicker (2014), Sorcerer (Legacy) - Crimson Dynasty (2014)",https://www.dndbeyond.com/spells/2061-death-ward,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2062,delayed-blast-fireball,Delayed Blast Fireball,7,Basic Rules (2014),230,"Basic Rules (2014), pg. 230",1 Action,150 ft. (20 ft. ),"V, S, M *","V, S, M (a tiny ball of bat guano and sulfur)",Concentration 1 Minute,Evocation,DEX Save,Dex,Fire (...),,"A beam of yellow light flashes from your pointing finger, then condenses to linger at a chosen point within range as a glowing bead for the duration. When the spell ends, either because your concentration is broken or because you decide to end it, the bead blossoms with a low roar into an explosion of flame that spreads around corners. Each creature in a 20-foot-radius sphere centered on that point must make a Dexterity saving throw. A creature takes fire damage equal to the total accumulated damage on a failed save, or half as much damage on a successful one.
The spell's base damage is 12d6. If at the end of your turn the bead has not yet detonated, the damage increases by 1d6.
If the glowing bead is touched before the interval has expired, the creature touching it must make a Dexterity saving throw. On a failed save, the spell ends immediately, causing the bead to erupt in flame. On a successful save, the creature can throw the bead up to 40 feet. When it strikes a creature or a solid object, the spell ends, and the bead explodes.
The fire damages objects in the area and ignites flammable objects that aren't being worn or carried.","When you cast this spell using a spell slot of 8th level or higher, the base damage increases by 1d6 for each slot level above 7th.",Damage,"Sorcerer (Legacy), Wizard (Legacy)",https://www.dndbeyond.com/spells/2062-delayed-blast-fireball,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2063,demiplane,Demiplane,8,Basic Rules (2014),231,"Basic Rules (2014), pg. 231",1 Action,60 ft.,S,S,1 Hour,Conjuration,None,,Utility,,"You create a shadowy door on a flat solid surface that you can see within range. The door is large enough to allow Medium creatures to pass through unhindered. When opened, the door leads to a demiplane that appears to be an empty room 30 feet in each dimension, made of wood or stone. When the spell ends, the door disappears, and any creatures or objects inside the demiplane remain trapped there, as the door also disappears from the other side.
Each time you cast this spell, you can create a new demiplane, or have the shadowy door connect to a demiplane you created with a previous casting of this spell. Additionally, if you know the nature and contents of a demiplane created by a casting of this spell by another creature, you can have the shadowy door connect to its demiplane instead.",,Utility,"Warlock (Legacy), Wizard (Legacy)",https://www.dndbeyond.com/spells/2063-demiplane,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2064,detect-evil-and-good,Detect Evil and Good,1,Basic Rules (2014),231,"Basic Rules (2014), pg. 231",1 Action,Self (30 ft. ),"V, S","V, S",Concentration 10 Minutes,Divination,None,,Detection,"Works on: aberration, celestial, elemental, fey, fiend, or undead.
Blocked by: 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or 3 feet of wood or dirt.","For the duration, you know if there is an aberration, celestial, elemental, fey, fiend, or undead within 30 feet of you, as well as where the creature is located. Similarly, you know if there is a place or object within 30 feet of you that has been magically consecrated or desecrated.
The spell can penetrate most barriers, but it is blocked by 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or 3 feet of wood or dirt.",,Detection,"Cleric (Legacy), Paladin (Legacy), Paladin (Legacy) - Oath of Zeal (Legacy), Warlock (Legacy) - The Genie",https://www.dndbeyond.com/spells/2064-detect-evil-and-good,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2065,detect-magic,Detect Magic,1,Basic Rules (2014),231,"Basic Rules (2014), pg. 231",1 Action Ritual,Self (30 ft. ),"V, S","V, S",Concentration 10 Minutes,Divination,None,,Detection,"Duration: 10min. Sees invisible. 
Blocked by 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or 3 feet of wood or dirt.","For the duration, you sense the presence of magic within 30 feet of you. If you sense magic in this way, you can use your action to see a faint aura around any visible creature or object in the area that bears magic, and you learn its school of magic, if any.
The spell can penetrate most barriers, but it is blocked by 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or 3 feet of wood or dirt.",,Detection,"Bard (Legacy), Cleric (Legacy), Druid (Legacy), Paladin (Legacy), Ranger (Legacy), Sorcerer (Legacy), Wizard (Legacy), Artificer (Legacy), Cleric (Legacy) - Arcana Domain, Cleric (Legacy) - Inquisition Domain (Legacy), Paladin (Legacy) - Oath of the Watchers, Illrigger - Architect of Ruin",https://www.dndbeyond.com/spells/2065-detect-magic,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2066,detect-poison-and-disease,Detect Poison and Disease,1,Basic Rules (2014),231,"Basic Rules (2014), pg. 231",1 Action Ritual,Self (30 ft. ),"V, S, M *","V, S, M (a yew leaf)",Concentration 10 Minutes,Divination,None,,Detection,"Duration: 10min. Poisonous Creatures. 
Blocked by 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or 3 feet of wood or dirt.","For the duration, you can sense the presence and location of poisons, poisonous creatures, and diseases within 30 feet of you. You also identify the kind of poison, poisonous creature, or disease in each case.
The spell can penetrate most barriers, but it is blocked by 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or 3 feet of wood or dirt.",,Detection,"Cleric (Legacy), Druid (Legacy), Paladin (Legacy), Ranger (Legacy), Warlock (Legacy) - Mother of Sorrows",https://www.dndbeyond.com/spells/2066-detect-poison-and-disease,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2067,detect-thoughts,Detect Thoughts,2,Basic Rules (2014),231,"Basic Rules (2014), pg. 231",1 Action,Self,"V, S, M *","V, S, M (a copper piece)",Concentration 1 Minute,Divination,WIS Save,Wis,Detection (...),,"For the duration, you can read the thoughts of certain creatures. When you cast the spell and as your action on each turn until the spell ends, you can focus your mind on any one creature that you can see within 30 feet of you. If the creature you choose has an Intelligence of 3 or lower or doesn’t speak any language, the creature is unaffected.
You initially learn the surface thoughts of the creature—what is most on its mind in that moment. As an action, you can either shift your attention to another creature’s thoughts or attempt to probe deeper into the same creature’s mind. If you probe deeper, the target must make a Wisdom saving throw. If it fails, you gain insight into its reasoning (if any), its emotional state, and something that looms large in its mind (such as something it worries over, loves, or hates). If it succeeds, the spell ends. Either way, the target knows that you are probing into its mind, and unless you shift your attention to another creature’s thoughts, the creature can use its action on its turn to make an Intelligence check contested by your Intelligence check; if it succeeds, the spell ends.
Questions verbally directed at the target creature naturally shape the course of its thoughts, so this spell is particularly effective as part of an interrogation.
You can also use this spell to detect the presence of thinking creatures you can’t see. When you cast the spell or as your action during the duration, you can search for thoughts within 30 feet of you. The spell can penetrate barriers, but 2 feet of rock, 2 inches of any metal other than lead, or a thin sheet of lead blocks you. You can’t detect a creature with an Intelligence of 3 or lower or one that doesn’t speak any language.
Once you detect the presence of a creature in this way, you can read its thoughts for the rest of the duration as described above, even if you can’t see it, but it must still be within range.",,"Social, Detection","Bard (Legacy), Sorcerer (Legacy), Wizard (Legacy), Paladin (Legacy) - Oath of Zeal (Legacy), Warlock (Legacy) - The Great Old One (Legacy), Illrigger - Architect of Ruin",https://www.dndbeyond.com/spells/2067-detect-thoughts,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2068,dimension-door,Dimension Door,4,Basic Rules (2014),233,"Basic Rules (2014), pg. 233",1 Action,500 ft.,V,V,Instantaneous,Conjuration,None,,Teleportation,,"You teleport yourself from your current location to any other spot within range. You arrive at exactly the spot desired. It can be a place you can see, one you can visualize, or one you can describe by stating distance and direction, such as ""200 feet straight downward"" or ""upward to the northwest at a 45- degree angle, 300 feet.""
You can bring along objects as long as their weight doesn't exceed what you can carry. You can also bring one willing creature of your size or smaller who is carrying gear up to its carrying capacity. The creature must be within 5 feet of you when you cast this spell.
If you would arrive in a place already occupied by an object or a creature, you and any creature traveling with you each take 4d6 force damage, and the spell fails to teleport you.",,Teleportation,"Bard (Legacy), Sorcerer (Legacy), Warlock (Legacy), Wizard (Legacy), Cleric (Legacy) - Trickery Domain (Legacy), Paladin (Legacy) - Oath of Vengeance (Legacy), Paladin (Legacy) - Oath of the Spelldrinker, Illrigger - Architect of Ruin",https://www.dndbeyond.com/spells/2068-dimension-door,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2069,disguise-self,Disguise Self,1,Basic Rules (2014),233,"Basic Rules (2014), pg. 233",1 Action,Self,"V, S","V, S",1 Hour,Illusion,None,,Shapechanging,,"You make yourself--including your clothing, armor, weapons, and other belongings on your person--look different until the spell ends or until you use your action to dismiss it. You can seem 1 foot shorter or taller and can appear thin, fat, or in between. You can't change your body type, so you must adopt a form that has the same basic arrangement of limbs. Otherwise, the extent of the illusion is up to you.
The changes wrought by this spell fail to hold up to physical inspection. For example, if you use this spell to add a hat to your outfit, objects pass through the hat, and anyone who touches it would feel nothing or would feel your head and hair. If you use this spell to appear thinner than you are, the hand of someone who reaches out to touch you would bump into you while it was seemingly still in midair.
To discern that you are disguised, a creature can use its action to inspect your appearance and must succeed on an Intelligence (
Investigation
) check against your spell save DC.",,Shapechanging,"Bard (Legacy), Sorcerer (Legacy), Wizard (Legacy), Artificer (Legacy), Cleric (Legacy) - Trickery Domain (Legacy), Illrigger - Architect of Ruin, Warlock (Legacy) - The Great Fool (2014)",https://www.dndbeyond.com/spells/2069-disguise-self,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2070,disintegrate,Disintegrate,6,Basic Rules (2014),233,"Basic Rules (2014), pg. 233",1 Action,60 ft.,"V, S, M *","V, S, M (a lodestone and a pinch of dust)",Instantaneous,Transmutation,DEX Save,Dex,Force,,"A thin green ray springs from your pointing finger to a target that you can see within range. The target can be a creature, an object, or a creation of magical force, such as the wall created by
wall of force
.
A creature targeted by this spell must make a Dexterity saving throw. On a failed save, the target takes 10d6 + 40 force damage. The target is disintegrated if this damage leaves it with 0 hit points.
A disintegrated creature and everything it is wearing and carrying, except magic items, are reduced to a pile of fine gray dust. The creature can be restored to life only by means of a
true resurrection
or a
wish
spell.
This spell automatically disintegrates a Large or smaller nonmagical object or a creation of magical force. If the target is a Huge or larger object or creation of force, this spell disintegrates a 10-foot- cube portion of it. A magic item is unaffected by this spell.","When you cast this spell using a spell slot of 7th level or higher, the damage increases by 3d6 for each slot level above 6th.","Damage, Control","Sorcerer (Legacy), Wizard (Legacy)",https://www.dndbeyond.com/spells/2070-disintegrate,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2071,dispel-evil-and-good,Dispel Evil and Good,5,Basic Rules (2014),233,"Basic Rules (2014), pg. 233",1 Action,Self,"V, S, M *","V, S, M (holy water or powdered silver and iron)",Concentration 1 Minute,Abjuration,CHA Save,Cha,Charmed (...),"Works on: fey, undead, and creatures originating from beyond the Material Plane.
Dismissal: If they aren't on their home plane, undead are sent to the Shadowfell, and fey are sent to the Feywild.","Shimmering energy surrounds and protects you from fey, undead, and creatures originating from beyond the Material Plane. For the duration, celestials, elementals, fey, fiends, and undead have disadvantage on attack rolls against you.
You can end the spell early by using either of the following special functions.
Break Enchantment.
As your action, you touch a creature you can reach that is
charmed
,
frightened
, or possessed by a celestial, an elemental, a fey, a fiend, or an undead. The creature you touch is no longer
charmed
,
frightened
, or possessed by such creatures.
Dismissal.
As your action, make a melee spell attack against a celestial, an elemental, a fey, a fiend, or an undead you can reach. On a hit, you attempt to drive the creature back to its home plane. The creature must succeed on a Charisma saving throw or be sent back to its home plane (if it isn't there already). If they aren't on their home plane, undead are sent to the Shadowfell, and fey are sent to the Feywild.",,"Control, Debuff","Cleric (Legacy), Paladin (Legacy)",https://www.dndbeyond.com/spells/2071-dispel-evil-and-good,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2072,dispel-magic,Dispel Magic,3,Basic Rules (2014),234,"Basic Rules (2014), pg. 234",1 Action,120 ft.,"V, S","V, S",Instantaneous,Abjuration,None,,Control,Upcast Spelllvl,"Choose one creature, object, or magical effect within range. Any spell of 3rd level or lower on the target ends. For each spell of 4th level or higher on the target, make an ability check using your spellcasting ability. The DC equals 10 + the spell's level. On a successful check, the spell ends.","When you cast this spell using a spell slot of 4th level or higher, you automatically end the effects of a spell on the target if the spell's level is equal to or less than the level of the spell slot you used.",Control,"Bard (Legacy), Cleric (Legacy), Druid (Legacy), Paladin (Legacy), Sorcerer (Legacy), Warlock (Legacy), Wizard (Legacy), Artificer (Legacy), Cleric (Legacy) - Trickery Domain (Legacy), Cleric (Legacy) - Arcana Domain, Cleric (Legacy) - Inquisition Domain (Legacy), Paladin (Legacy) - Oath of Devotion (Legacy), Paladin (Legacy) - Oath of the Spelldrinker, Illrigger - Architect of Ruin",https://www.dndbeyond.com/spells/2072-dispel-magic,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
2073,divination,Divination,4,Basic Rules (2014),234,"Basic Rules (2014), pg. 234",1 Action Ritual,Self,"V, S, M *","V, S, M (incense and a sacrificial offering appropriate to your religion, together worth at least 25 gp, which the spell consumes)",Instantaneous,Divination,None,,Foreknowledge,"You ask a single question concerning a specific goal, event, or activity to occur within 7 days.","Your magic and an offering put you in contact with a god or a god's servants. You ask a single question concerning a specific goal, event, or activity to occur within 7 days. The GM offers a truthful reply. The reply might be a short phrase, a cryptic rhyme, or an omen.
The spell doesn't take into account any possible circumstances that might change the outcome, such as the casting of additional spells or the loss or gain of a companion.
If you cast the spell two or more times before finishing your next long rest, there is a cumulative 25 percent chance for each casting after the first that you get a random reading. The GM makes this roll in secret.",,Foreknowledge,"Cleric (Legacy), Cleric (Legacy) - Night Domain, Paladin (Legacy) - Oath of Zeal (Legacy)",https://www.dndbeyond.com/spells/2073-divination,https://www.dndbeyond.com/spells?filter-search=&filter-verbal=&filter-somatic=&filter-material=&filter-concentration=&filter-ritual=&filter-source-category=26&filter-source-category=1&filter-partnered-content=f
